city,party,age,election,men_population,women_population,hispanic_population,white_population,black_population,native_population,asian_population,pacific_population,voted_cnt,not_voted_cnt,total_population
BEDFORD,DEM,89,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,12,4,12868
BEDFORD,DEM,88,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,44,0,12868
BEDFORD,DEM,87,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,44,4,12868
BEDFORD,DEM,86,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,44,0,12868
BEDFORD,DEM,85,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,44,4,12868
BEDFORD,DEM,84,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,24,4,12868
BEDFORD,DEM,83,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,40,8,12868
BEDFORD,DEM,82,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,44,4,12868
BEDFORD,DEM,81,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,40,4,12868
BEDFORD,DEM,80,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,64,0,12868
BEDFORD,DEM,79,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,52,8,12868
BEDFORD,DEM,78,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,60,12,12868
BEDFORD,DEM,77,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,68,8,12868
BEDFORD,DEM,76,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,60,8,12868
BEDFORD,DEM,75,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,40,0,12868
BEDFORD,DEM,74,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,44,4,12868
BEDFORD,DEM,73,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,92,8,12868
BEDFORD,DEM,72,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,68,0,12868
BEDFORD,DEM,71,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,60,12,12868
BEDFORD,DEM,70,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,112,8,12868
BEDFORD,DEM,69,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,88,28,12868
BEDFORD,DEM,68,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,68,16,12868
BEDFORD,DEM,67,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,92,24,12868
BEDFORD,DEM,66,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,76,16,12868
BEDFORD,DEM,65,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,108,24,12868
BEDFORD,DEM,64,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,88,20,12868
BEDFORD,DEM,63,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,96,32,12868
BEDFORD,DEM,62,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,72,44,12868
BEDFORD,DEM,61,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,80,8,12868
BEDFORD,DEM,60,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,68,16,12868
BEDFORD,DEM,59,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,76,28,12868
BEDFORD,DEM,58,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,68,20,12868
BEDFORD,DEM,57,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,52,28,12868
BEDFORD,DEM,56,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,72,24,12868
BEDFORD,DEM,55,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,60,12,12868
BEDFORD,DEM,54,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,36,20,12868
BEDFORD,DEM,53,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,12,12,12868
BEDFORD,DEM,52,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,40,12,12868
BEDFORD,DEM,51,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,44,28,12868
BEDFORD,DEM,50,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,20,20,12868
BEDFORD,DEM,49,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,28,24,12868
BEDFORD,DEM,48,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,20,4,12868
BEDFORD,DEM,47,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,24,20,12868
BEDFORD,DEM,46,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,8,12,12868
BEDFORD,DEM,45,Nov 09 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,16,12,12868
BEDFORD,DEM,98,Nov 10 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,8,0,12868
